pageviews,visitNumber,hits
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,3,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,1,2
1.0,2,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,4,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,3,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,6,2
2.0,3,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,3,2
2.0,3,2
2.0,11,2
2.0,2,2
2.0,2,2
2.0,11,2
2.0,4,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,2,2
2.0,2,2
2.0,6,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,1,2
2.0,1,2
2.0,1,2
2.0,8,2
2.0,3,2
2.0,3,2
2.0,1,2
2.0,1,2
2.0,2,2
2.0,22,2
2.0,1,2
3.0,1,3
3.0,1,3
3.0,3,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
2.0,1,3
2.0,1,3
2.0,2,3
2.0,1,3
2.0,1,3
2.0,1,3
2.0,1,3
2.0,1,3
2.0,2,3
2.0,2,3
2.0,1,3
3.0,1,3
3.0,2,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,2,3
3.0,1,3
3.0,3,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,3,3
3.0,1,3
3.0,3,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,1,3
3.0,3,3
3.0,3,3
3.0,10,3
3.0,4,3
3.0,2,3
3.0,1,3
3.0,5,3
3.0,1,3
3.0,1,3
3.0,1,3
